PREFIX,URI_PREFIX,PURL
CHEBI,http://purl.obolibrary.org/obo/CHEBI,https://ftp.ebi.ac.uk/pub/databases/chebi/ontology/chebi_lite.owl
BCIO,http://humanbehaviourchange.org/ontology/BCIO,http://humanbehaviourchange.org/ontology/BCIO
SEP,http://purl.obolibrary.org/obo/SEP,http://purl.obolibrary.org/obo/SEP
SEPIO,http://purl.obolibrary.org/obo/SEPIO,http://purl.obolibrary.org/obo/SEPIO
ENVO,http://purl.obolibrary.org/obo/ENVO,http://purl.obolibrary.org/obo/ENVO
PO,http://purl.obolibrary.org/obo/PO,http://purl.obolibrary.org/obo/PO
APOLLO_SV,http://purl.obolibrary.org/obo/APOLLO_SV ,http://purl.obolibrary.org/obo/APOLLO_SV
STATO,http://purl.obolibrary.org/obo/STATO,http://purl.obolibrary.org/obo/STATO
OMRSE,http://purl.obolibrary.org/obo/OMRSE,http://purl.obolibrary.org/obo/OMRSE
UBERON,http://purl.obolibrary.org/obo/UBERON,http://purl.obolibrary.org/obo/UBERON
GO,http://purl.obolibrary.org/obo/GO,http://purl.obolibrary.org/obo/GO
DOID,http://purl.obolibrary.org/obo/DOID,http://purl.obolibrary.org/obo/DOID
OBI,http://purl.obolibrary.org/obo/OBI,http://purl.obolibrary.org/obo/OBI
BFO,http://purl.obolibrary.org/obo/BFO,http://purl.obolibrary.org/obo/BFO
OBCS,http://purl.obolibrary.org/obo/OBCS,http://purl.obolibrary.org/obo/OBCS
RO,http://purl.obolibrary.org/obo/RO,http://purl.obolibrary.org/obo/RO
IAO,http://purl.obolibrary.org/obo/IAO,http://purl.obolibrary.org/obo/IAO
MF,http://purl.obolibrary.org/obo/MF,http://purl.obolibrary.org/obo/MF
OGMS,http://purl.obolibrary.org/obo/OGMS,http://purl.obolibrary.org/obo/OGMS
PATO,http://purl.obolibrary.org/obo/PATO,http://purl.obolibrary.org/obo/PATO
MFOEM,http://purl.obolibrary.org/obo/MFOEM,http://purl.obolibrary.org/obo/MFOEM
CHMO,http://purl.obolibrary.org/obo/CHMO,http://purl.obolibrary.org/obo/CHMO
ERO,http://purl.obolibrary.org/obo/ERO,http://purl.obolibrary.org/obo/ERO
GSSO,http://purl.obolibrary.org/obo/GSSO,http://purl.obolibrary.org/obo/GSSO
AEO,http://purl.obolibrary.org/obo/AEO,http://purl.obolibrary.org/obo/AEO
ADDICTO,,http://addictovocab.org/addicto.owl
CMO,,http://purl.obolibrary.org/obo/cmo.owl
EFO,,http://www.ebi.ac.uk/efo/efo.owl
OMIABIS,,http://purl.obolibrary.org/obo/omiabis.owl
OPMI,,http://purl.obolibrary.org/obo/opmi.owl
PDRO,,http://purl.obolibrary.org/obo/pdro.owl
PR,,http://purl.obolibrary.org/obo/pr.owl
